evidence_id,source_type,source_reference,collected_at,population_or_sample,journey_id,node_id,finding,evidence_status,limitations
EVD-2026-0011,observation,"Shadowing of onboarding sessions, notes OS01-OS11",2026-07-30,11 sessions run by 4 of 6 specialists,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,Specialists spent a median 22 of 45 minutes on tax-rate and account mapping; in 7 of 11 sessions the admin phoned or messaged their accountant during the call,observed,Only qualifying accounts (10+ seats) observed; specialists knew they were being observed
EVD-2026-0012,survey,Day-30 set-up ease survey (SV-01),2026-07-20,96 responses from the cohort (23% response rate),JRN-CUST-SAAS-ONBOARD-001,,71% agreed that setting up Ledgerly was easy; 88% of respondents had sent a real invoice vs 64% of the whole cohort,observed,"Response skews to accounts that got further; read as a completer view, it does not contradict EVD-2026-0002"
EVD-2026-0013,stakeholder-input,Sales leadership pipeline review,2026-06-18,Head of Sales and 2 sales managers,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04-02,"Teammates miss invitation emails because spam filters catch them, and this is the main reason accounts stall",hypothesis,Belief not backed by data; contradicted by EVD-2026-0008
EVD-2026-0014,stakeholder-input,Customer success team retrospective,2026-06-25,Head of Customer Success and 3 CS managers,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-01,Admins who sign in the last week of a month postpone set-up until month-end close is over,hypothesis,Not tested; signature date vs month-end has not been analysed
EVD-2026-0015,experiment,In-app set-up checklist A/B test EXP-25-04 (readout),2025-10-15,New accounts with 3+ seats signed 2025-04-01 to 2025-08-31 (n=388; 194 per arm),JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-01,"Checklist raised checklist completion by 19 points; first team value within 30 days was 31% (treatment) vs 30% (control), a difference of +1 point with a 95% interval of about -8 to +10 points: no detectable effect",observed,Could detect only effects of about 13 points or more (80% power); ran before policy v4 took effect on 2025-10-01 and before the current connector version; all 30-day windows had closed by 2025-09-30
EVD-2026-0016,analytics,Billing records joined to cohort outcomes (AN-04),2026-08-12,Accounts with 3+ seats signed 2025-07-01 to 2026-02-28 (n=604),JRN-CUST-SAAS-ONBOARD-001,,90-day logo retention was 96% (197/205) for accounts that met the team-value threshold within 30 days vs 81% (323/399) for those that did not,observed,"Observational; larger accounts are more likely both to meet the threshold and to stay, so the gap is not a causal effect"
EVD-2026-0017,interview,Admin interviews round 1 (S01-S14) read against OR-01,2026-08-05,5 admins with an in-house bookkeeper vs 9 relying on an external accountant,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,Stall at mapping appears concentrated in accounts with an external accountant: all 5 in-house admins completed mapping in one sitting. Reasoning: in-house admins had the knowledge on hand; external-accountant admins waited on a reply,inferred,"Inference from 14 interviews; the 5 in-house admins are the same 5 recruited from accounts that met the threshold, so the comparison is confounded by selection on outcome; cannot be checked in data until EVD-2026-0018 is resolved"
EVD-2026-0018,document,CRM field inventory review (DOC-02),2026-08-06,CRM account schema,JRN-CUST-SAAS-ONBOARD-001,,"Open question: what share of new accounts keep their books with an external accountant? No field records it, so the segment in EVD-2026-0017 cannot be sized",unknown,Could be approximated from sales call notes; not attempted
EVD-2026-0019,interview,"Team member interviews, notes T01-T06",2026-08-09,6 team members from 4 accounts,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04-01,"Teammates invited before approval rules were set sent invoices directly; admins then restricted permissions, and 4 of 6 teammates hit an unexplained 'you cannot send this invoice' block in their first week",observed,"Small sample, all from accounts that met the threshold; team members from stalled accounts not reached"
EVD-2026-0020,support-log,Help desk tickets tagged roles and permissions (SL-02),2026-07-15,"211 tickets (17% of the 1,240 in EVD-2026-0004)",JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04-01,"Most frequent permission ticket: a teammate cannot send or edit an invoice after approval rules were applied; 61% raised by the teammate, not the admin",observed,Same tagging limitations as EVD-2026-0004
EVD-2026-0021,analytics,Cohort re-cut AN-05 under analysis plan AP-01 (cut points pre-specified 2026-06-20),2026-09-21,New accounts with 3+ seats signed 2026-01-01 to 2026-05-31 (n=412),JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-03,"Re-run confirms 140/412 met the threshold. Among the 321 accounts that attempted a sync: 284 had a synced invoice by day 30 (median 12 days); first synced invoice within 7 days (pre-specified cut, n=80) met the threshold at 55% (44/80) vs 31% (75/241) otherwise; within seat bands 3-9: 52% (28/54) vs 29% (49/170), 10+: 62% (16/26) vs 37% (26/71). First sync failed (n=125): 26% (32/125) vs succeeded (n=196): 44% (87/196). Invites within 30 days: 81% (65/80) early, 58% (139/241) later, 38% (35/91) never connected. Of the 91 accounts that never connected a ledger, 23% (21/91) met the threshold",observed,"Correlation only; stratified on seat band only, not on ledger vendor; the 7-day cut was the only cut examined; Jun-Aug 2026 cohorts not yet included"
EVD-2026-0022,document,Ledger vendor API documentation review (DOC-03),2026-09-18,API documentation of the 3 supported ledgers,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,"Two of the three ledgers expose a change feed that returns edits, reversals and re-postings for the previous 90 days; the third exposes no change history",observed,"Documentation, not a tested integration; retention may differ by customer plan"
EVD-2026-0023,other,Evidence gap log (GAP-01),2026-09-24,45 accounts with no admin login within 7 days,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-01,"Open question: why do 11% of admins not log in within 7 days, and what do they expect to happen first? Email recruitment reached none of them",unknown,Would be answered by phone recruitment (OPP-0007)
EVD-2026-0024,other,Evidence gap log (GAP-02),2026-09-24,91 accounts that never connected a ledger,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02,"Open question: how do accounts that never connect a ledger invoice, and do they see the connection as necessary at all?",unknown,No interview or event data covers what happens outside the product
EVD-2026-0025,other,Evidence gap log (GAP-03),2026-09-24,Team members of accounts that did not meet the threshold,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04,"Open question: what do team members in stalled accounts experience when they are invited, or while they wait to be?",unknown,All 6 team members interviewed came from accounts that met the threshold
